Company Name,Company Type,Link,About Us,Affiliations,Website,Social Media 1,Social Media 2,Social Media 3,Address,Advisor & Cert Num,Number of Advisors,Number of Xero Certs,Phone Number
MATAX,Accountant,https://www.xero.com/advisors/accountant/matax-7220ac6067f2/,"We Give Entrepreneurs Their Time Back ™; 
    Two-time Xero Partner of the Year, MATAX is an experienced, technology-first firm delivering proficient accounting, bookkeeping, app integration, advisory, workflow optimization, and automation for early-stage start-ups, entrepreneurs, and SMBs.  
    
    We partner with you to learn and plan for your current and future business needs. We implement and manage efficient, cost-saving systems and workflows, allowing you to focus on development and growth, knowing you have a trusted advisory team at your side.
    
    MATAX serves diverse industries, including SaaS development, eCommerce, Health Tech, and Professional Services.",,http://mataxhq.com/,https://www.facebook.com/mataxhq/,https://www.twitter.com/mataxhq,https://www.linkedin.com/company/matax-inc-?trk,,MATAX advisors: 7 - Xero certifications: 7,7,7,
"Accounting for Jewelers, LLC",Accountant,https://www.xero.com/advisors/accountant/accounting-for-jewelers-llc-198cf0b7c98a/,"We work with the jewelry industry: from studio artists to independent and franchise stores. Let us be your outsourced accounting department. We do cleanups, conversions and setups, full-service bookkeeping, and training. We partner with your business to help with growth, strategy, and tax compliance. Founded by a jeweler, for jewelers. Based in Pensacola, FL and serving the United States.","American Institute of CPAs, American Institute of Professional Bookkeepers, National Association of Certified Public Bookkeepers",https://accountingforjewelers.com/,https://www.facebook.com/AccountingForJewelers/,https://www.linkedin.com/company/accounting-for-jewelers,,,"Accounting for Jewelers, LLC advisors: 10 - Xero certifications: 8",10,8,
"PILLAR3, LLC",Accountant,https://www.xero.com/advisors/accountant/pillar3-llc-bbcd899027fa/,"We don’t mean to be nosy, but we want to get into your business. At PILLAR3, we have a thing for helping small businesses and entrepreneurs, and pretty much anyone that wears a backpack full of dreams. We believe in strong accounting foundations, connected to smooth processes and scalable systems that come together to offer insight into the pulse of a business. We partner with our clients to help structure and manage those details so they can focus on what they do best.",,http://www.pillar3llc.com,,,,"402 Office Park Drive, Suite 107, Mountain Brook, 35223, Alabama","PILLAR3, LLC advisors: 15 - Xero certifications: 2",15,2,+1 205-585-5553
"HTH, LLC",Accountant,https://www.xero.com/advisors/accountant/hth-llc-9536ef83be86/,"Know what you want and use the proper resource to help you achieve.  HTH is the resource.  We supply knowledge. We supply direction. We supply confidence. What is HTH? The side-car of your personal life. The right hand in the business plan. At HTH you will find passionate, original, and bright business minds. We slam dunk the services you’d expect:  Tax Work, Trust Work, Estate Planning, Accounting, Valuations.  But those are just commodities.  Our value is knowledge.  We have an experienced plus a progressive development core, saddled with 1st class technology that can move you and/or your business where you want to go … Being equipped is what it’s about.",,http://www.hthconsultants.com,https://www.facebook.com/hthconsultants/,https://www.linkedin.com/company/hth-consultants,,"1860 West Winchester Road, Suite 103, Libertyville, 60048, Illinois","HTH, LLC advisors: 12 - Xero certifications: 6",12,6,+847 247-0200
ECOM CPA LLC,Accountant,https://www.xero.com/advisors/accountant/ecom-cpa-llc-d764cd2c8cd0/,Accounting and tax firm specializing in e-commerce and amazon businesses.  We are experts in US tax planning and preparation.  We have deep knowledge of the best practices of our clients.,,http://www.ecomcpa.com,http://www.facebook.com/ecomcpa,https://www.twitter.com/jallencpa,,,,,,
LUCA,Accountant,https://www.xero.com/advisors/accountant/luca-d16fea8bd2be/,"LUCA is an accounting back office and CFO service for growing businesses. Our team integrates modern workflows with cloud-based accounting software to provide robust financial operations for companies looking for the most efficient way to tackle bookkeeping, accounting, compliance, and decision support needs. We work with a range of businesses, from startups to growing franchises.; 
    Today, we are serving business owners by applying those contributions in the quickly-evolving landscape of management and accounting technologies. Our team embodies the same spirit of innovative and integrated thinking, applied in the 21st century, for the benefit of the modern growth business.","American Institute of CPAs, Chartered Global Management Accountants",https://lucahq.com,https://www.twitter.com/luca_hq,https://www.linkedin.com/company-beta/15230862/,,,LUCA advisors: 12 - Xero certifications: 18,12,18,
Padgett,Accountant,https://www.xero.com/advisors/accountant/padgett-c6c816e93f9a/,At Padgett our mission is simple: help small business owners focus on their passion by supporting them through the tasks that take time away from doing the work they love.,,http://www.padgettadvisors.com/locations,https://www.facebook.com/PadgettUSA,https://www.twitter.com/padgettUSA,https://www.linkedin.com/company/padgett-business-services/,,Padgett advisors: 18 - Xero certifications: 1,18,1,
GCT Technology & Accounting,Accountant,https://www.xero.com/advisors/accountant/gct-technology-accounting-54d390829d1f/,"At GCT Technology & Accounting, we’ve combined our accounting knowledge with our technology expertise in order to better serve small businesses. By utilizing the most current cloud-based software, we provide proactive accounting for owners who strive for success in mobile world. Our Cloud Advisory Team takes great pride in developing a custom, scalable back office solution for our clients, so that they can focus on company growth. Each customized solution is based in the Xero Software platform, with countless apps that tailor to your specific company’s needs.","American Institute of CPAs, Florida Institute of CPAs, Accountex Network",http://www.GCTAccounting.com,https://www.facebook.com/GCTAccounting/,https://www.twitter.com/GCTAccounting,https://www.linkedin.com/company-beta/18105242/,"4350 Pablo Professional Court, Jacksonville, 32224, Florida",GCT Technology & Accounting advisors: 10 - Xero certifications: 11,10,11,+904 680-7083
"Bean Counter 4 Hire, LLC",Accountant,https://www.xero.com/advisors/accountant/bean-counter-4-hire-llc-0a4f84ca0b94/,"Bean Counter 4 Hire specializes in outsourced accounting solutions for small businesses, offering financial visibility and cost savings. Our team includes certified Xero experts, accountants, CPAs, and bookkeepers. Contact us for a custom service plan tailored to your business needs.",,https://beancounter4hire.com,https://www.facebook.com/beancounter4hire,https://www.twitter.com/BeanCounter4All,https://www.linkedin.com/company/bean-counter-4-hire,,"Bean Counter 4 Hire, LLC advisors: 3 - Xero certifications: 2",3,2,
CliftonLarsonAllen,Accountant,https://www.xero.com/advisors/accountant/cliftonlarsonallen-f965f09c7691/,"CLA exists to create opportunities for our clients, our people, and our communities through industry-focused wealth advisory, outsourcing, audit, tax, and consulting services. With more than 6,100 people, 120 U.S. locations, and a global affiliation, we promise to know you and help you. For more information visit CLAconnect.com. Investment advisory services are offered through CliftonLarsonAllen Wealth Advisors, LLC, an SEC-registered investment advisor.",American Institute of CPAs,https://www.claconnect.com/services/outsourcing#Services,https://www.facebook.com/CliftonLarsonAllen,https://www.twitter.com/CLAconnect,https://www.linkedin.com/company/cliftonlarsonallen/,"220 South 6th Street, Suite 300, Minneapolis, 55402, Minnesota",,,,+1 888-529-2648
"Burgmaier & Associates, Inc.",Accountant,https://www.xero.com/advisors/accountant/burgmaier-associates-inc-932f96f8a2ca/,"Burgmaier & Associates, Inc. has been helping independent dentist and doctors since 2004. Our passion is helping dental, medical, veterinarian and other professional service firms.We understand the industry.  We understand the doctors.  We understand what you need.  We provide bookkeeping, accounting, tax and consulting solutions to ensure we can be efficient so we can get to the good stuff....the stuff to truly help you and your company achieve more.",,http://www.myabqcpa.com,https://business.facebook.com/Burgmaier-Associates-Inc-563100267050276/?business_id=1018723031558609,https://www.linkedin.com/company-beta/1262614/,,"4425 Juan Tabo Boulevard Northeast, Suite 250, Albuquerque, 87111, NM",,,,+1 505-299-8383
Ranta CPA + Associates,Accountant,https://www.xero.com/advisors/accountant/ranta-cpa-associates-15e6c33e9e71/,"Greetings Current or Prospective Xero-ites!  Ranta CPA + Associates is a Seattle-based CPA and accounting services firm.  We provide income tax preparation, accounting and bookkeeping, payroll administration, state and local business tax filings, and general consulting and advising services.; 
    We work with numerous clients and industries, specializing in in hospitality, e-commerce, real estate, professional services, and creative/design firms.",,http://ranta-cpa.com,,,,"1836 Westlake Avenue North, Suite 101, Seattle, 98109, WA",,,,+1 2064202246
The Bottom Line®,Accountant,https://www.xero.com/advisors/accountant/the-bottom-line-a002b21e67fa/,"At The Bottom Line, we help our business owners grow profitably with personalized tax planning, bookkeeping, tax prep, and industry-leading service. So, how do we do this?; 
    Instead of only talking to you at tax time, our Certified Profit First Professionals engage with you all year to implement your profit and tax plan so you keep more of the money you earn.
    
    Schedule a FREE Discovery call today!",Profit First Professionals,http://www.thebottomlinecpa.com,https://www.facebook.com/thebottomlinecpa,,,,,,,
Revel CPA,Accountant,https://www.xero.com/advisors/accountant/revel-cpa-a2f2e77ddc6a/,"Owners of creative businesses like you are unique. So why would you work with a generic accounting firm? Since 2005, we've been focused on one thing: helping creative business owners navigate the world of business and taxes. We've designed our accounting, tax, and consulting services with YOU in mind. Your experience as a client is everything to us, and we're constantly finding ways to deliver high-quality work in a seamless process--and always mobile friendly :); 
    We believe in using business to help build a more diverse, equitable, and inclusive world. We think that businesses who choose to say nothing about social issues we face as a society are actually saying a lot. And we think the arts have the power to change people's hearts and minds more than anything. That's why we work to support you every day.",,http://revelcpa.com,http://fb.com/revelcpa,http://www.linkedin.com/in/martinkamenski,,,Revel CPA advisors: 2 - Xero certifications: 7,2,7,
Fiskal Inc,Accountant,https://www.xero.com/advisors/accountant/fiskal-inc-d2a8b013f7fc/,"🌱 At Fiskal, we are dedicated to helping founders and business leaders rest assured, knowing that their fiskal responsibilities are taken care of. We work with them to make sure they have the right foundation, software and principles in place.; 
    
    
    We help them make the right decision and we make sure they have access to timely and accurate data required to drive crucial business decisions during all stages of their growth cycle.
    
    
    
    We believe that in order to build healthy businesses, we have to integrate and become part of the team. We bring our wealth of knowledge and experience directly to the frontline where we join hands with the team. We believe that this is how we can make a lasting impact and help build strong, sustainable businesses that will serve many generations to come.",,https://www.fiskalfinance.com/,,,,"2780 Gateway Drive, Pompano Beach, 33069, Florida",Fiskal Inc advisors: 15 - Xero certifications: 2,15,2,+1 5617776374
Latino Tax &  Exp Services INC,Accountant,https://www.xero.com/advisors/accountant/latino-tax-exp-services-inc-600a79848489/,"Tax preparation for Individuals and Businesses , Bookkeeping , Payroll, Travel , Notary Services and Insurance for  Auto, Home , Life and Businesses .; .",,https://latinotaxinsurance.com/,https://www.facebook.com/LatinoTaxExpressInc/,https://www.linkedin.com/in/miguel-govea-salazar-72591b85/,,"1231 University Drive, Durham, 27707, North Carolina",Latino Tax &  Exp Services INC advisors: 10 - Xero certifications: 8,10,8,+1 (919) 797-0135
"Smart Business Concepts, LLC",Accountant,https://www.xero.com/advisors/accountant/smart-business-concepts-llc-1fd2f59eb548/,"We help business owners and operators make critical decisions with enterprise-level, budget-friendly financial advisory. Our goal is to constantly increase your business’ efficiency, scalability and profitability. We’re a true one-stop-shop for bookkeeping, accounting, payroll, tax, sales tax and fractional CFO/financial advisory services, and we partner with businesses from all different industries. Our clients range from true tech startups to multi-million dollar corporations. We’re tech-savvy, nimble and constantly curious – so we enjoy working “outside the box” to deliver custom solutions that fit every clients' EXACT needs.",,https://www.smartconcepts.co,https://www.facebook.com/smartbizconcepts,https://www.twitter.com/smartbizconcept,https://www.linkedin.com/company/smartbizconcepts,"2103 Irving Boulevard, We serve businesses all over the U.S., Dallas, 75207, Texas","Smart Business Concepts, LLC advisors: 25 - Xero certifications: 13",25,13,+1 214-272-0913
DiMercurio Advisors,Accountant,https://www.xero.com/advisors/accountant/dimercurio-advisors-9460a4482915/,"DiMercurio Advisors is an accounting firm with a passion for small businesses. We empower business owners by simplifying complex financial information so they can make educated decisions to succeed.  At DiMercurio Advisors, our specialists alleviate the weight of complicated problems by providing you innovative accounting, tax, and advisory solutions.  That way, our clients can focus on the things they truly care about.","American Institute of CPAs, Chartered Global Management Accountants, Florida Institute of CPAs",http://DiMercurioAdvisors.com,,,,"111 North Orange Avenue, Suite 1450, Orlando, 32801, Florida",,,,+1 4079064376
